Wed Jan  7 20:07:31 2026    profile.stats

         143059 function calls (131805 primitive calls) in 4132.467 seconds

   Ordered by: cumulative time
   List reduced from 606 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000 4132.467 4132.467 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/chat.py:172(main)
        1 4020.226 4020.226 4020.226 4020.226 {built-in method builtins.input}
        1    0.000    0.000  112.236  112.236 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/generator.py:34(__init__)
        1    0.000    0.000  112.139  112.139 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/load_optimized.py:125(load_optimized)
        1    0.000    0.000  102.816  102.816 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/load_optimized.py:95(prewarm_model_cache)
        5    0.007    0.001  102.815   20.563 /Users/mps/projects/AI-PROJECTS/mlx-harmony/src/mlx_harmony/load_optimized.py:20(_prewarm_filesystem_cache)
     1413  102.809    0.073  102.809    0.073 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    9.323    9.323 /Users/unixwzrd/miniconda3/envs/ConnectomeAI/lib/python3.12/site-packages/mlx_lm/utils.py:295(load)
        1    7.466    7.466    7.531    7.531 /Users/unixwzrd/miniconda3/envs/ConnectomeAI/lib/python3.12/site-packages/mlx_lm/utils.py:166(load_model)
        1    0.019    0.019    1.792    1.792 /Users/unixwzrd/miniconda3/envs/ConnectomeAI/lib/python3.12/site-packages/mlx_lm/utils.py:271(load_tokenizer)
        1    0.003    0.003    1.773    1.773 /Users/unixwzrd/miniconda3/envs/ConnectomeAI/lib/python3.12/site-packages/mlx_lm/tokenizer_utils.py:472(load)
        1    0.000    0.000    1.329    1.329 /Users/unixwzrd/miniconda3/envs/ConnectomeAI/lib/python3.12/site-packages/transformers/models/auto/tokenization_auto.py:545(from_pretrained)
        1    0.031    0.031    1.314    1.314 /Users/unixwzrd/miniconda3/envs/ConnectomeAI/lib/python3.12/site-packages/transformers/tokenization_utils_base.py:1512(from_pretrained)
