TIMING_STATS_HEADER	row_index	timestamp_iso	timestamp_unix	prompt_tokens	kv_len	generated_tokens	elapsed_seconds	tokens_per_second	prompt_start_to_prompt_start_seconds	max_context_tokens	max_kv_size	repetition_window	loop_detection_mode	prefill_start_offset	memory_architecture	memory_device_name	memory_max_buffer_length	memory_max_recommended_working_set_size	memory_memory_size	memory_resource_limit
TIMING_STATS	1	2026-01-28T06:25:36.384253Z	1769603136.384253	114	114	555	10.568068166263402	52.51669380518708	None	16384	None	256	cheap	0	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	2	2026-01-28T06:25:44.411273Z	1769603144.411273	220	220	407	7.924938917160034	51.3568627158393	10.75962037499994	16384	None	256	cheap	111	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	3	2026-01-28T06:25:54.350552Z	1769603154.350552	469	469	498	9.880698165856302	50.40129671412154	7.983518457971513	16384	None	256	cheap	217	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	4	2026-01-28T06:26:00.228783Z	1769603160.228783	844	844	262	5.817077917046845	45.03979553586752	9.941455292049795	16384	None	256	cheap	466	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	5	2026-01-28T06:26:06.793193Z	1769603166.793193	1015	1015	316	6.513330417219549	48.515886613794116	5.867801582906395	16384	None	256	cheap	841	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	6	2026-01-28T06:26:15.243835Z	1769603175.243835	1236	1236	407	8.398663082625717	48.46009370729008	6.566647709347308	16384	None	256	cheap	1012	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	7	2026-01-28T06:26:22.162448Z	1769603182.162448	1571	1571	307	6.8586058327928185	44.7612834859457	8.456739124841988	16384	None	256	cheap	1233	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	8	2026-01-28T06:26:28.362079Z	1769603188.362079	1808	1808	272	6.121762415859848	44.43164917594985	6.914576500188559	16384	None	256	cheap	1568	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	9	2026-01-28T06:26:36.772959Z	1769603196.772959	2034	2034	367	8.33954762481153	44.00718318438694	6.197233249899	16384	None	256	cheap	1805	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	10	2026-01-28T06:26:51.556785Z	1769603211.556785	2387	2387	625	14.715571667067707	42.47201631987569	8.415363166015595	16384	None	256	cheap	2031	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	11	2026-01-28T06:27:02.481528Z	1769603222.481528	2980	2980	387	10.854013124946505	35.65501492812202	14.796071958728135	16384	None	256	cheap	2384	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	12	2026-01-28T06:27:14.965744Z	1769603234.965744	3292	3292	486	12.401876249816269	39.187618890101405	10.924093250185251	16384	None	256	cheap	2977	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	13	2026-01-28T06:27:32.958979Z	1769603252.958979	3744	3744	723	17.92536845896393	40.3338989463533	12.481209707912058	16384	None	256	cheap	3289	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	14	2026-01-28T06:27:45.121056Z	1769603265.121056	4401	4401	463	12.080761459190398	38.32539873947882	18.005541833117604	16384	None	256	cheap	3741	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	15	2026-01-28T06:27:54.790885Z	1769603274.790885	4800	4800	364	9.598921416793019	37.92092717450454	12.14882866712287	16384	None	256	cheap	4398	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	16	2026-01-28T06:28:08.680099Z	1769603288.680099	5107	5107	521	13.819381207693368	37.70067502805081	9.669407666660845	16384	None	256	cheap	4797	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	17	2026-01-28T06:28:27.078080Z	1769603307.07808	5574	5574	666	18.32520587509498	36.34338432754705	13.893975708168	16384	None	256	cheap	5104	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	18	2026-01-28T06:28:46.707175Z	1769603326.707175	6194	6194	656	19.542255708016455	33.56828453180568	18.407636541873217	16384	None	256	cheap	5571	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	19	2026-01-28T06:28:57.772598Z	1769603337.772598	6823	6823	312	10.973348791245371	28.43252373868916	19.634164708200842	16384	None	256	cheap	6191	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
TIMING_STATS	20	2026-01-28T06:29:19.022821Z	1769603359.022821	7116	7116	677	21.17235670844093	31.975656244734235	11.048588375095278	16384	None	256	cheap	6820	applegpu_g14s	Apple M2 Max	57982058496	77309411328	103079215104	499000
